surah	name	aya	arabic	english
1	Al-Fatihah	1	بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ	In the name of Allah, the Entirely Merciful, the Especially Merciful.
1	Al-Fatihah	2	ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ	[All] praise is [due] to Allah, Lord of the worlds -
1	Al-Fatihah	6	ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ	Guide us to the straight path -
2	Al-Baqarah	2	ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ	This is the Book about which there is no doubt, a guidance for those conscious of Allah -
2	Al-Baqarah	3	ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ	Who believe in the unseen, establish prayer, and spend out of what We have provided for them,
2	Al-Baqarah	4	وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ	And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].
2	Al-Baqarah	5	أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ	Those are upon [right] guidance from their Lord, and it is those who are the successful.
2	Al-Baqarah	7	خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَـٰرِهِمْ غِشَـٰوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ	Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.
2	Al-Baqarah	8	وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ	And of the people are some who say, "We believe in Allah and the Last Day," but they are not believers.
2	Al-Baqarah	9	يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ	They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.
2	Al-Baqarah	10	فِى قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ	In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.
2	Al-Baqarah	13	وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لَّا يَعْلَمُونَ	And when it is said to them, "Believe as the people have believed," they say, "Should we believe as the foolish have believed?" Unquestionably, it is they who are the foolish, but they know [it] not.
